id,Id_prov,Nama_prov,Bak/Tong Sampah,Balai Kemasyarakatan,Bangunan Air Bersih,Bangunan Irigasi,Bangunan Olahraga,Bangunan Polindes,Bangunan Posyandu,Bangunan Utama Wisata,Bendung Sederhana,Bronjong,Embung,Gedung BUMDES,Gedung Perpustakaan,Gedung Sekolah TK / PAUD,Gorong-gorong,Instalasi Penjernihan Air,Instalasi Pompa Hidram,Jalan Lingkungan,Jalan Poros Desa,Jalan Poros Dusun,Jalan Setapak,Jalan Usaha Tani,Jamban Keluarga,Jaringan Internet untuk Warga Desa,Jembatan Gantung,Jembatan Roda 2,Jembatan Roda 4,Krib pengarah,Lumbung Pangan,MCK,Pangkalan ojek,Pasar,Pembangkit Listrik,Penampungan Air Hujan (PAH),Penerangan Jalan Umum (PJU) / Bantuan Listrik RT,Perbaikan Rumah Tinggal,Perpipaan,PKTD Industri Pengelolahan dan Pergudangan untuk Pangan,PKTD Lain lain,PKTD Perdagangan Logistik dan Pangan,PKTD Perhutanan,PKTD Perikanan,PKTD Pertanian dan perkebunan,PKTD Peternakan,PKTD Prasarana Umum,PKTD Restoran dan Wisata Desa,Saluran Drainase,Saluran Irigasi,Sarpras Lainnya,Sarpras Pendukung Embung,Sarpras Pendukung Olahraga,Sarpras Pendukung Pariwisata,Sarpras Pendukung Pasar,Sarpras Pendukung Perpustakaan,Sarpras Pendukung Polindes,Sarpras Pendukung Posyandu,Sarpras Pendukung TK / PAUD,Sumur,Sumur Resapan / Biofori,Taman bermain / Ruang terbuka Hijau,Tambatan Perahu,Tembok Penahan Tanah,Tempat Pembuangan Sampah,Tempat Pengolahan Sampah,Tempat Penjemuran Tanaman Pangan,Grand Total
11,32,JAWA BARAT,88.0,296,557,133.0,483.0,103.0,1123,45.0,26.0,73.0,47.0,65,40.0,384.0,527,44,15.0,4341,2544,1074,553.0,3135,78,102.0,38.0,402,334,0.0,149,494,1.0,53.0,5.0,4.0,454,758,417,12.0,378.0,3.0,13.0,64.0,250.0,87.0,278.0,17.0,1916,1243,2162,22.0,411,267,74,40.0,93.0,323,217,305,15.0,87,4.0,2027.0,171.0,199.0,10.0,29673
12,33,JAWA TENGAH,212.0,446,779,385.0,690.0,300.0,135,94.0,69.0,141.0,102.0,206,128.0,718.0,1291,91,39.0,6561,3257,3160,175.0,6671,828,267.0,26.0,340,997,4.0,283,427,0.0,205.0,45.0,13.0,671,2301,439,13.0,561.0,7.0,7.0,69.0,501.0,101.0,388.0,16.0,3310,2238,4424,82.0,1171,742,358,184.0,453.0,497,1050,421,32.0,224,7.0,3530.0,153.0,301.0,17.0,53353
13,34,DAERAH ISTIMEWA YOGYAKARTA,0.0,19,28,14.0,26.0,7.0,3,5.0,5.0,1.0,7.0,15,9.0,51.0,48,2,0.0,271,136,149,2.0,228,58,3.0,4.0,12,21,0.0,11,42,0.0,28.0,1.0,4.0,24,123,37,0.0,20.0,0.0,0.0,0.0,43.0,0.0,16.0,1.0,134,198,139,10.0,91,77,55,5.0,3.0,5,43,30,14.0,23,0.0,132.0,4.0,11.0,0.0,2448
14,35,JAWA TIMUR,133.0,326,587,351.0,405.0,318.0,201,97.0,31.0,54.0,93.0,180,83.0,647.0,1183,48,51.0,6879,2148,3721,139.0,6144,520,101.0,18.0,389,969,9.0,252,481,1.0,240.0,20.0,18.0,988,1866,419,7.0,784.0,1.0,3.0,40.0,536.0,38.0,775.0,17.0,3579,2498,3678,50.0,616,782,373,80.0,399.0,389,767,368,95.0,237,37.0,3630.0,167.0,255.0,18.0,50329
15,36,BANTEN,9.0,41,168,18.0,15.0,12.0,71,1.0,2.0,23.0,6.0,5,5.0,21.0,158,7,0.0,1091,454,209,9.0,733,39,17.0,8.0,47,55,0.0,8,81,0.0,2.0,3.0,4.0,48,34,30,1.0,78.0,1.0,0.0,21.0,21.0,23.0,20.0,1.0,409,134,365,6.0,26,26,3,9.0,25.0,74,36,20,1.0,8,0.0,264.0,14.0,11.0,0.0,5031
16,51,BALI,11.0,16,40,3.0,13.0,8.0,12,1.0,0.0,0.0,3.0,17,0.0,31.0,30,5,1.0,224,108,65,9.0,329,15,4.0,0.0,8,5,0.0,17,24,0.0,5.0,0.0,2.0,19,31,57,1.0,18.0,0.0,0.0,4.0,46.0,22.0,18.0,5.0,55,59,171,3.0,16,52,17,6.0,16.0,37,83,5,2.0,8,1.0,26.0,13.0,43.0,1.0,1841
17,52,NUSA TENGGARA BARAT,21.0,123,131,21.0,51.0,41.0,56,10.0,8.0,23.0,17.0,15,19.0,31.0,119,17,7.0,584,121,335,9.0,643,31,12.0,5.0,43,69,0.0,36,65,0.0,4.0,7.0,4.0,109,145,112,2.0,284.0,3.0,0.0,13.0,17.0,11.0,39.0,3.0,299,324,666,9.0,92,90,11,15.0,47.0,104,37,76,8.0,22,4.0,84.0,33.0,33.0,1.0,5371
18,53,NUSA TENGGARA TIMUR,7.0,115,489,25.0,54.0,56.0,226,4.0,7.0,47.0,23.0,19,21.0,202.0,139,70,11.0,627,398,468,83.0,1025,266,51.0,4.0,16,40,2.0,31,215,0.0,11.0,25.0,159.0,384,967,506,5.0,58.0,1.0,8.0,8.0,46.0,8.0,39.0,1.0,299,213,1811,2.0,61,85,16,24.0,187.0,413,337,171,9.0,4,8.0,405.0,3.0,1.0,19.0,11035
19,61,KALIMANTAN BARAT,17.0,221,324,17.0,139.0,60.0,170,5.0,2.0,7.0,12.0,9,23.0,145.0,341,29,7.0,1285,477,488,37.0,1374,111,64.0,21.0,686,370,4.0,40,267,0.0,11.0,103.0,85.0,68,65,154,3.0,158.0,2.0,1.0,50.0,37.0,40.0,39.0,1.0,384,140,1645,8.0,245,40,15,26.0,77.0,201,243,107,5.0,9,61.0,137.0,4.0,8.0,2.0,10926
20,62,KALIMANTAN TENGAH,30.0,98,195,4.0,57.0,15.0,106,4.0,3.0,0.0,19.0,5,20.0,106.0,166,31,10.0,933,391,10,13.0,670,149,15.0,16.0,341,183,1.0,41,156,0.0,14.0,0.0,39.0,184,153,85,1.0,42.0,0.0,5.0,32.0,46.0,12.0,81.0,4.0,162,40,887,14.0,83,100,35,19.0,72.0,166,267,214,10.0,15,63.0,66.0,13.0,6.0,2.0,6720
21,63,KALIMANTAN SELATAN,86.0,100,316,9.0,88.0,51.0,237,8.0,10.0,5.0,29.0,10,33.0,191.0,88,12,14.0,738,366,45,10.0,1727,109,72.0,21.0,369,104,2.0,68,184,0.0,17.0,11.0,13.0,140,130,135,5.0,269.0,0.0,2.0,166.0,296.0,84.0,115.0,3.0,196,107,1671,19.0,120,74,13,85.0,188.0,424,422,172,2.0,10,33.0,71.0,32.0,25.0,1.0,10153
22,64,KALIMANTAN TIMUR,11.0,61,78,1.0,71.0,19.0,83,21.0,2.0,2.0,11.0,14,2.0,48.0,109,15,1.0,596,176,36,8.0,433,16,5.0,3.0,137,90,0.0,46,57,0.0,6.0,26.0,12.0,41,158,36,3.0,117.0,1.0,3.0,30.0,45.0,28.0,30.0,4.0,241,35,499,3.0,74,74,19,6.0,27.0,88,113,44,1.0,13,47.0,45.0,10.0,8.0,5.0,4044
23,65,KALIMANTAN UTARA,12.0,36,53,6.0,30.0,1.0,41,4.0,0.0,5.0,2.0,2,1.0,25.0,47,3,1.0,166,52,1,18.0,151,15,4.0,5.0,50,31,0.0,28,50,0.0,8.0,22.0,7.0,69,77,52,0.0,22.0,0.0,0.0,5.0,14.0,2.0,11.0,0.0,108,20,430,2.0,42,23,1,3.0,0.0,43,33,11,0.0,2,40.0,15.0,0.0,1.0,1.0,1904
