id,KODE PROVINSI,NAMA PROVINSI,KODE KAB,NAMA KABUPATEN,DESA MANDIRI,DESA MAJU,DESA BERKEMBANG,DESA TERTINGGAL,DESA SANGAT TERTINGGAL,TIDAK MEMENUHI KRITERIA (tidak melakukan pengukuran berdasarkan,TOTAL DESA
95,33.0,JAWA TENGAH,3305.0,KEBUMEN,152.0,246.0,51.0,0.0,0.0,0,449.0
96,33.0,JAWA TENGAH,3324.0,KENDAL,33.0,139.0,94.0,0.0,0.0,0,266.0
97,33.0,JAWA TENGAH,3310.0,KLATEN,27.0,203.0,161.0,0.0,0.0,0,391.0
98,33.0,JAWA TENGAH,3319.0,KUDUS,63.0,59.0,1.0,0.0,0.0,0,123.0
99,33.0,JAWA TENGAH,3308.0,MAGELANG,59.0,144.0,164.0,0.0,0.0,0,367.0
100,33.0,JAWA TENGAH,3318.0,PATI,93.0,257.0,51.0,0.0,0.0,0,401.0
101,33.0,JAWA TENGAH,3326.0,PEKALONGAN,22.0,82.0,168.0,0.0,0.0,0,272.0
102,33.0,JAWA TENGAH,3327.0,PEMALANG,52.0,123.0,37.0,0.0,0.0,0,212.0
103,33.0,JAWA TENGAH,3303.0,PURBALINGGA,69.0,144.0,11.0,0.0,0.0,0,224.0
104,33.0,JAWA TENGAH,3306.0,PURWOREJO,38.0,260.0,171.0,0.0,0.0,0,469.0
105,33.0,JAWA TENGAH,3317.0,REMBANG,36.0,153.0,98.0,0.0,0.0,0,287.0
106,33.0,JAWA TENGAH,3322.0,SEMARANG,31.0,85.0,92.0,0.0,0.0,0,208.0
107,33.0,JAWA TENGAH,3314.0,SRAGEN,39.0,97.0,60.0,0.0,0.0,0,196.0
108,33.0,JAWA TENGAH,3311.0,SUKOHARJO,61.0,89.0,0.0,0.0,0.0,0,150.0
109,33.0,JAWA TENGAH,3328.0,TEGAL,5.0,106.0,165.0,5.0,0.0,0,281.0
110,33.0,JAWA TENGAH,3323.0,TEMANGGUNG,101.0,138.0,27.0,0.0,0.0,0,266.0
111,33.0,JAWA TENGAH,3312.0,WONOGIRI,114.0,129.0,8.0,0.0,0.0,0,251.0
112,33.0,JAWA TENGAH,3307.0,WONOSOBO,99.0,117.0,20.0,0.0,0.0,0,236.0
113,35.0,JAWA TIMUR,3526.0,BANGKALAN,13.0,93.0,167.0,0.0,0.0,0,273.0
114,35.0,JAWA TIMUR,3510.0,BANYUWANGI,179.0,10.0,0.0,0.0,0.0,0,189.0
115,35.0,JAWA TIMUR,3505.0,BLITAR,111.0,108.0,1.0,0.0,0.0,0,220.0
116,35.0,JAWA TIMUR,3522.0,BOJONEGORO,340.0,79.0,0.0,0.0,0.0,0,419.0
117,35.0,JAWA TIMUR,3511.0,BONDOWOSO,38.0,97.0,74.0,0.0,0.0,0,209.0
118,35.0,JAWA TIMUR,3525.0,GRESIK,290.0,40.0,0.0,0.0,0.0,0,330.0
119,35.0,JAWA TIMUR,3509.0,JEMBER,179.0,47.0,0.0,0.0,0.0,0,226.0
120,35.0,JAWA TIMUR,3517.0,JOMBANG,184.0,118.0,0.0,0.0,0.0,0,302.0
121,35.0,JAWA TIMUR,3506.0,KEDIRI,88.0,236.0,19.0,0.0,0.0,0,343.0
122,35.0,JAWA TIMUR,3579.0,KOTA BATU,19.0,0.0,0.0,0.0,0.0,0,19.0
123,35.0,JAWA TIMUR,3524.0,LAMONGAN,237.0,224.0,1.0,0.0,0.0,0,462.0
124,35.0,JAWA TIMUR,3508.0,LUMAJANG,69.0,84.0,45.0,0.0,0.0,0,198.0
125,35.0,JAWA TIMUR,3519.0,MADIUN,135.0,63.0,0.0,0.0,0.0,0,198.0
126,35.0,JAWA TIMUR,3520.0,MAGETAN,113.0,90.0,4.0,0.0,0.0,0,207.0
127,35.0,JAWA TIMUR,3507.0,MALANG,378.0,0.0,0.0,0.0,0.0,0,378.0
128,35.0,JAWA TIMUR,3516.0,MOJOKERTO,299.0,0.0,0.0,0.0,0.0,0,299.0
129,35.0,JAWA TIMUR,3518.0,NGANJUK,78.0,175.0,11.0,0.0,0.0,0,264.0
130,35.0,JAWA TIMUR,3521.0,NGAWI,52.0,146.0,15.0,0.0,0.0,0,213.0
131,35.0,JAWA TIMUR,3501.0,PACITAN,81.0,77.0,9.0,0.0,0.0,0,167.0
132,35.0,JAWA TIMUR,3528.0,PAMEKASAN,24.0,92.0,62.0,0.0,0.0,0,178.0
133,35.0,JAWA TIMUR,3514.0,PASURUAN,134.0,150.0,57.0,0.0,0.0,0,341.0
134,35.0,JAWA TIMUR,3502.0,PONOROGO,76.0,168.0,37.0,0.0,0.0,0,281.0
135,35.0,JAWA TIMUR,3513.0,PROBOLINGGO,105.0,170.0,50.0,0.0,0.0,0,325.0
136,35.0,JAWA TIMUR,3527.0,SAMPANG,14.0,58.0,108.0,0.0,0.0,0,180.0
137,35.0,JAWA TIMUR,3515.0,SIDOARJO,215.0,97.0,6.0,0.0,0.0,0,318.0
138,35.0,JAWA TIMUR,3512.0,SITUBONDO,62.0,61.0,9.0,0.0,0.0,0,132.0
139,35.0,JAWA TIMUR,3529.0,SUMENEP,101.0,137.0,92.0,0.0,0.0,0,330.0
140,35.0,JAWA TIMUR,3503.0,TRENGGALEK,89.0,63.0,0.0,0.0,0.0,0,152.0
141,35.0,JAWA TIMUR,3523.0,TUBAN,186.0,125.0,0.0,0.0,0.0,0,311.0
142,35.0,JAWA TIMUR,3504.0,TULUNGAGUNG,130.0,116.0,11.0,0.0,0.0,0,257.0
143,61.0,KALIMANTAN BARAT,6107.0,BENGKAYANG,65.0,31.0,26.0,0.0,0.0,0,122.0
144,61.0,KALIMANTAN BARAT,6106.0,KAPUAS HULU,102.0,103.0,73.0,0.0,0.0,0,278.0
